Project Code;Title;Description;Specialization;Tools;Doctor;TA;Year;Future Work;Status
cs 93;Cheat Detect (Online Exam Proctoring);AI-powered online exam proctoring system detecting cheating behaviors in real-time.;Web,AI;Web,Laravel,AI;Mona Samir Laqusha;Nowra Hamdy;2024-2025;1. Enhanced AI models 2. Emotion recognition 3. Voice tone analysis 4. Diverse assessment formats 5. Data privacy;finished
cs 94;Snap & Shape (Food Recognition & Fitness);AI-powered app for food recognition and nutritional analysis with fitness recommendations.;Embedded,AI,Mobile;Flutter,.NET,SQL,Python;Mona Lackousha;Nowraa Hamdy;2024/2025;1. Recognition accuracy 2. Portion estimation 3. Health device integration 4. Expanded food database 5. Real-time updates;finished
cs 95;Diagnosis of Psoriasis;Web application for diagnosing Psoriasis, focusing on information and natural treatment methods.;AI,Fullstack,Mobile;Web,PHP,Laravel,MySQL;Mona Lackousha;Nowraa Hamdy;2024/2025;1. App Store publication 2. Wearable integration 3. Multilingual support 4. Telemedicine integration 5. Overcome metadata scarcity;finished
cs 96;Smart Speaking Glove;A wearable smart glove that translates Arabic sign language gestures into real-time Arabic text and speech output. Paired with a mobile app for learning gestures and an AI-powered chat feature. Aims to overcome communication barriers for deaf and mute individuals in Arabic-speaking communities.;Web,Mobile;Embedded,Hardware,AI,Mobile;Lamiaa Hassan;Alaa Abo El-ela;2024/2025;1. Improved Gesture Recognition using deep learning  2. Multi-Language Support for other sign languages 3. Advanced Feedback Integration (haptic/audio prompts) 4. Long-Term User Testing for usability refinemen;finished
cs 97;ArabTutor AI;An AI-powered educational platform that automatically translates, dubs, and summarizes English educational videos into Arabic. Addresses the language barrier for Arabic-speaking learners by providing accessible, high-quality educational content from global platforms like Coursera and Udemy.;AI;AI,Backend,Frontend,Mobile;Mohamed Abdelfatah;Nowraa Hamdy;2024/2025;1. Domain-specific translation models 2. Multi-speaker TTS and voice cloning 3. Abstractive summarization refinement 4. Support for other languages 5. Interactive learning features (quizzes, forums) 6. Personalized learning paths 7. Real-time processing for live streams 8. Advanced search and community features;finished
cs 98;Smart Pharmacy;Digital platform connecting users with nearby pharmacies through mobile app and website. Features include geolocation-based pharmacy search, real-time medication availability, price comparison, prescription management, and order tracking.;AI;Web;Mohamed Awad;Hajar Abdelhamid;2024/2025;1. Payment Gateway Integration 2. Advanced Pharmacy Inventory Management 3. Online Pharmaceutical Consultation 4. Personalized User Experience 5. EHR Integration 6. Expanded OCR Scope 7. Rating and Review System 8. Multi-language Support 9. Advanced Analytics;finished
cs 99;Graduate;A web platform using AI to streamline academic research review, offering tools for summarizing, grammar check, and plagiarism detection.;Mobile;Django,PostgreSQL,React;Abbas Rostom;Ahmed Hany;2024/2025;Advanced LLMs, Multilingual support, Collaboration tools.;finished
cs 100;DERBY;A football platform providing real-time data and using AI predictive analytics to estimate players' future ratings.;AI;Flutter,PHP,MySQL,Python;Mohamed Awad;;Spring 2025;Expand AI to injury risk/transfer value, Improve admin dashboard, Enhance security.;finished
cs 101;Leg Deformities;A mobile app using AI analysis for the early detection of genu varum (bow-leggedness) in children to prevent long-term complications.;AI;Flutter,Firebase,Python;Mohamed AbdElfatah;Ahmed Hary;2022-2026;Expand dataset/improve AI, Personalized treatment, Clinical validation.;finished
cs 102;Vision Patrol;A real-time traffic surveillance system powered by computer vision and deep learning to detect violations, accidents, and trigger emergency alerts.;AI;Django,Python,AI;Nora Ntazy;Alaa Aboutola;2024/2025;Predictive analytics, AI-driven prioritization, Public dashboard, Deployment with authorities.;finished
cs 103;Face Tracker;A smart system using AI facial recognition from IP cameras for automated, real-time attendance and location tracking accessible via a mobile app.;AI;Python,AI,Mobile;Ahmed Ibrahim;Ahmed Fouad;2024/2025;Payroll integration, Real-time camera feed monitoring dashboard.;finished
cs 104;DARKOPS (SAPS);An AI-powered cybersecurity platform detecting phishing, malicious APKs, suspicious URLs, and QR codes using machine learning models.;AI;NextJS,PostgreSQL,AI,Cloud;Sheafi Moharram;Nawraa Hamdy;2024-2025;Additional detection modules, Deep learning models, Enhanced threat intelligence.;finished
cs 105;Smart Event;A mobile/web platform using AI for event management, featuring facial recognition for attendance and emotion detection for organizer reports.;AI;React,PHP,Laravel,Flutter,Embedded;Mona Samir;Ahmed Hany;2024/2025;Emotion tracking over time, Enhanced anti-spoofing security, Scalability for large events.;finished
cs 106;Clarity RX (Charity RX);Wearable smart glasses for the visually impaired, providing real-time obstacle detection and spatial awareness via ultrasonic sensors and audio feedback.;AI;Embedded,Flutter;Mona Lakosha;Ahmed Hany;2024/2025;Integrating GPS/voice navigation, Personal safety features, Cloud backup.;finished
cs 107;Women's Health Care;An integrated AI system for women's healthcare, covering early cancer detection and emotional support via a generative AI chatbot.;AI;Python,AI,Mobile;Mohammed Akderiatan;Abeer Mostafa;2024-2025;Integrating pre-trained NLP, Sentiment analysis, Multilingual support, Links to certified professionals.;finished
cs 108;Smart Farm with IOT;A smart farming system using IoT sensor networks and AI to monitor environmental conditions in real-time for optimal lettuce cultivation.;AI;IoT,Embedded,Mobile;Mohamed Abdelfatah;Ahmed Hany;2024/2025;Supporting multiple crop types, Automated irrigation, Advanced AI capabilities (deep learning).;finished
cs 109;Deepfake Detection System;A mobile system that uses AI and image analysis techniques to easily and accurately identify fake videos/deepfakes.;AI;Flutter,Java,Python,AI;Nora Niazi;Ahmed Hany;2025/2026;Real-time detection optimization, Dataset diversity, Model optimization for mobile deployment.;finished
cs 110;NeuroVista;A GAN-driven AI system for multi-modality MRI synthesis, brain tumor segmentation, and interactive 3D visualization.;AI;React,FastAPI,AI;Mahmoud Gadallah;Nowraa Hamdy;2024-2025;Integration with PACS, Support for more pathologies, Federated Learning, Explainable AI (XAI).;finished
cs 111;Yalla Bina;An interactive educational mobile platform creating a competitive learning experience with real-time exams, rankings, and peer chat.;AI;Flutter,NodeJS,MongoDB;Sherif Moharam;Mohammed Hassan;2024/2025;In-App purchases/rewards, Advanced performance analytics, AI-Powered Study Assistant.;finished
cs 112;Dream Home;A web and mobile platform connecting customers with verified technical workers for efficient hiring, booking, and real-time communication.;AI;Angular,Flutter,NodeJS,Firebase,Docker;Abbass Rostom;Hadeel Aladdin;2024/2025;AI-Based recommendations, Real-Time Chat, Payment Gateway, IoT Integration.;finished
cs 113;GestIA;An innovative Human-Computer Interaction system using AI and ultrasonic sensors for hands-free device control via intuitive hand gestures.;AI;Python,Embedded,Flutter,React;Mona Lakousha;Ahmed Hany;2024/2025;Enhanced AI Model Accuracy, Expansion of Gesture Library, Integration with smart home/public devices.;finished
cs 114;Layer 2 Attacks;A project analyzing, implementing, and defending against Layer 2 network attacks in a simulated banking environment using specialized tools.;AI;Network,Security;Sherif Moharam;Noha Ayman;2024-2025;AI-Powered Threat Detection, Suricata Rule Integration, Full SOC Simulation.;finished
cs 115;Sugar Rush;An intelligent, AI-driven system for the early diagnosis and management of diabetes, providing personalized lifestyle recommendations.;AI;React,PHP,Laravel,Mobile;Lamiaa Hassaan;Nouran Hamdy;2024-2025;Integration with Wearable Devices, Multilingual Support, Telemedicine Integration.;finished
cs 116;Nafsi AI;"An integrated AI-driven mental wellness platform combining an empathetic AI therapist with ""infinite memory,"" journaling, and progress tracking.";AI;NextJS,Flutter,AI;Ahmed Ibrahim;Marian Emad;2024-2025;Multimodal capabilities (voice, facial), Group support, Professional integration tools.;finished
cs 117;Soccer IQ;An intelligent system using machine learning for football scouting and player evaluation, predicting advanced metrics like Expected Goals (xG) and Expected Assists (xA).;AI;Angular,Flutter,AI;Mohamed Aksisilhah;Alaa Abouelela;2024/2025;Real-time match data API integration, Expanding AI model (defensive metrics), Recommendation engine.;finished
cs 118;A Complete Medical Center;A mobile application designed to provide first aid assistance and improve communication between patients and caregivers. It integrates AI to assess burn severity and provide treatment recommendations.;Medical Informatics / AI;"Flutter; Dart; PHP; MySQL";Dr. Mohamed Awad;Eng. Ahmed Hany;2023/2024;Add iOS support and ads;finished
cs 119;Kay of Tourist (KOT);A tourism mobile application that helps users explore Egyptian attractions using AI recommendations, trip planning, and real-time guidance.;Tourism / AI / Mobile;"Flutter; Dart; Firebase";Dr. Nora Niazy;Eng. Esraa Ibrahim;2023/2024;Add AR tours;finished
cs 120;GPMS;A Graduation Projects Management System that facilitates submission, review, and collaboration between students and faculty.;Software Engineering;"HTML; CSS; Angular; C#; SQL Server";Dr. Sherif Moharam;Eng. Noha Ayman;2023/2024;Add analytics ML;finished
cs 121;NAP;A navigation assistant app that uses GPS and machine learning to provide smart notifications and improve travel efficiency.;AI / Mobile;"Machine Learning; GPS";Dr. Mohamed Awad;Eng. Esraa Ibrahim;2023/2024;Improve AI models;finished
cs 122;Blood Genius;An AI-powered application for leukemia detection using blood smear images and a chatbot for medical guidance.;Healthcare / AI;"AI; Image Processing; NLP";Dr. Mohamed Abd Elfattah;Eng. Tarek Mohamed;2023/2024;Expand diseases;finished
cs 123;Scolicare Project;A mobile application that uses artificial intelligence to detect scoliosis type and degree, helping doctors and patients improve diagnosis accuracy and treatment decisions.;Healthcare / AI;"Python; Google Colab; Roboflow; PyCharm; Android Studio; Firebase";Prof. Dr. Mohamed Awad;Eng. Ahmed Hany;2023/2024;Enhance dataset and add 3D visualization;finished
cs 124;Wasla (Lost Items App);A mobile application that helps users report and find lost items using image recognition and secure communication between users.;Mobile Apps / AI;"Flask; PostgreSQL; Firebase; Image Recognition";Dr. Nora Niazy;Eng. Ahmed Hany;2023/2024;Improve image recognition and expand features;finished
cs 125;Agriculture Assistant;An AI-based system for detecting plant diseases using deep learning and sensors, providing real-time monitoring and recommendations for farmers.;AI / Smart Agriculture;"Deep Learning; Sensors; Mobile App";Dr. Mohamed Awad;Eng. Ahmed Hany;2023/2024;Enhance accuracy and expand crop coverage;finished
cs 126;CNC LASER;A project focused on designing and developing a CNC laser engraving machine capable of high-precision cutting and engraving across various materials. It integrates mechanical design, laser technology, and software control systems to ensure accuracy, efficiency, and versatility in industrial and creative applications.;Embedded Systems / Manufacturing;"CNC; Arduino/Controller; Inkscape; GRBL; Mechanical Design";Dr. M. Abdelfattah;Eng. Mariam Medhat;2023/2024;Add AI-based calibration and expand materials database;finished
cs 127;Improving Learning Strategies;A system designed to enhance educational methods by applying artificial intelligence and computer vision techniques. It analyzes student behavior, classifies learning patterns, and improves attendance tracking using face recognition and data analysis to support more effective teaching strategies.;Education / AI / Computer Vision;"Python; Flask; SQL; TensorFlow; OpenCV; MediaPipe; YOLO; VS Code";Dr. Mohamed AbdElFatah;Eng. Abeer Mostafa;2023/2024;Enhance imaging systems and improve AI models for student classification;finished
cs 128;Dynamic Logistics Shipping Management (DLSM);A platform that connects shipping companies with clients to simplify logistics and international shipping processes. It enables users to compare offers, track shipments, and receive real-time updates, improving efficiency, transparency, and decision-making in the shipping market.;Logistics / Web Systems;"HTML; CSS; JavaScript; PHP; Laravel; MySQL; Android Studio";Dr. Ahmed Ibrahim;Eng. Mariam Medhat;2023/2024;Integrate IoT tracking and AI recommendations;finished
cs 129;Praecox;A machine learning-based system for early detection and classification of Alzheimer’s disease using MRI data. It focuses on extracting features from brain images and applying advanced algorithms to improve diagnosis accuracy and support early treatment decisions.;Healthcare / AI / Medical Imaging;"Python; Machine Learning; MRI Data Analysis";Dr. Tamer Hassan;Eng. Norhan Hamdy;2023/2024;Enhance multimodal models and datasets;finished
cs 130;Infrastructure for Company;A network infrastructure project designed to build a smart data center using virtualization and cloud technologies. It aims to improve resource utilization, reduce costs, and enhance system scalability and performance for enterprise environments.;Networking / Cloud / Infrastructure;"Packet Tracer; GNS3; VMware; Windows Server; Windows 10";Prof. Dr. Sherif Moharam;Eng. Amira Yehia & Mina Fokeah;2023/2024;Expand cloud integration and automation;finished
cs 131;Smart Speaker;An intelligent system that integrates American Sign Language (ASL) detection with machine learning and natural language processing to assist communication for deaf and hard-of-hearing individuals. It provides real-time sign recognition and interactive learning features through mobile and web applications.;AI / NLP / Computer Vision;"React; Angular; Flutter; APIs; Machine Learning";Dr. Sherif Moharam;Eng. Abeer Mostafa;2023/2024;Add multilingual support and wearable integration;finished
