project_code,title,description,Specialization,Tools,Doctor,TA,Year,Future Work,Status
cs 92,Brainalytica (Stroke Detection & Care),"Comprehensive AI system for stroke detection, risk assessment, and patient care.","AI,Mobile","Python,Flutter,AI",Lamiaa Hassaan,Nowraa Hamdy,2024-2025,1. Real-Time Diagnosis 2. Cloud Integration 3. Wearable Integration 4. Remote Monitoring 5. Emergency Tracking,finished
cs 93,Cheat Detect (Online Exam Proctoring),AI-powered online exam proctoring system detecting cheating behaviors in real-time.,"Web,AI","Web,Laravel,AI",Mona Samir Laqusha,Nowra Hamdy,2024-2025,1. Enhanced AI models 2. Emotion recognition 3. Voice tone analysis 4. Diverse assessment formats 5. Data privacy,finished
cs 94,Snap & Shape (Food Recognition & Fitness),AI-powered app for food recognition and nutritional analysis with fitness recommendations.,"Embedded,AI,Mobile","Flutter,.NET,SQL,Python",Mona Lackousha,Nowraa Hamdy,2024/2025,1. Recognition accuracy 2. Portion estimation 3. Health device integration 4. Expanded food database 5. Real-time updates,finished
cs 95,Diagnosis of Psoriasis,"Web application for diagnosing Psoriasis, focusing on information and natural treatment methods.","AI,Fullstack,Mobile","Web,PHP,Laravel,MySQL",Mona Lackousha,Nowraa Hamdy,2024/2025,1. App Store publication 2. Wearable integration 3. Multilingual support 4. Telemedicine integration 5. Overcome metadata scarcity,finished
cs 96,Smart Speaking Glove,A wearable smart glove that translates Arabic sign language gestures into real-time Arabic text and speech output. Paired with a mobile app for learning gestures and an AI-powered chat feature. Aims to overcome communication barriers for deaf and mute individuals in Arabic-speaking communities.,"Web,Mobile","Embedded,Hardware,AI,Mobile",Lamiaa Hassan,Alaa Abo El-ela,2024/2025,1. Improved Gesture Recognition using deep learning  2. Multi-Language Support for other sign languages 3. Advanced Feedback Integration (haptic/audio prompts) 4. Long-Term User Testing for usability refinemen,finished
cs 97,ArabTutor AI,"An AI-powered educational platform that automatically translates, dubs, and summarizes English educational videos into Arabic. Addresses the language barrier for Arabic-speaking learners by providing accessible, high-quality educational content from global platforms like Coursera and Udemy.",AI,"AI,Backend,Frontend,Mobile",Mohamed Abdelfatah,Nowraa Hamdy,2024/2025,"1. Domain-specific translation models 2. Multi-speaker TTS and voice cloning 3. Abstractive summarization refinement 4. Support for other languages 5. Interactive learning features (quizzes, forums) 6. Personalized learning paths 7. Real-time processing for live streams 8. Advanced search and community features",finished
cs 98,Smart Pharmacy,"Digital platform connecting users with nearby pharmacies through mobile app and website. Features include geolocation-based pharmacy search, real-time medication availability, price comparison, prescription management, and order tracking.",AI,Web,Mohamed Awad,Hajar Abdelhamid,2024/2025,1. Payment Gateway Integration 2. Advanced Pharmacy Inventory Management 3. Online Pharmaceutical Consultation 4. Personalized User Experience 5. EHR Integration 6. Expanded OCR Scope 7. Rating and Review System 8. Multi-language Support 9. Advanced Analytics,finished
cs 37,Graduate Guide,"A web platform using AI to streamline academic research review, offering tools for summarizing, grammar check, and plagiarism detection.",Mobile,"Django,PostgreSQL,React",Abbas Rostom,Ahmed Hany,2024/2025,"Advanced LLMs, Multilingual support, Collaboration tools.",finished
cs 36,DERBY,A football platform providing real-time data and using AI predictive analytics to estimate players' future ratings.,AI,"Flutter,PHP,MySQL,Python",Mohamed Awad,,Spring 2025,"Expand AI to injury risk/transfer value, Improve admin dashboard, Enhance security.",finished
cs 35,Leg Deformities,A mobile app using AI analysis for the early detection of genu varum (bow-leggedness) in children to prevent long-term complications.,AI,"Flutter,Firebase,Python",Mohamed AbdElfatah,Ahmed Hary,2022-2026,"Expand dataset/improve AI, Personalized treatment, Clinical validation.",finished
cs 34,Vision Patrol,"A real-time traffic surveillance system powered by computer vision and deep learning to detect violations, accidents, and trigger emergency alerts.",AI,"Django,Python,AI",Nora Ntazy,Alaa Aboutola,2024/2025,"Predictive analytics, AI-driven prioritization, Public dashboard, Deployment with authorities.",finished
cs 33,Face Tracker,"A smart system using AI facial recognition from IP cameras for automated, real-time attendance and location tracking accessible via a mobile app.",AI,"Python,AI,Mobile",Ahmed Ibrahim,Ahmed Fouad,2024/2025,"Payroll integration, Real-time camera feed monitoring dashboard.",finished
cs 32,DARKOPS (SAPS),"An AI-powered cybersecurity platform detecting phishing, malicious APKs, suspicious URLs, and QR codes using machine learning models.",AI,"NextJS,PostgreSQL,AI,Cloud",Sheafi Moharram,Nawraa Hamdy,2024-2025,"Additional detection modules, Deep learning models, Enhanced threat intelligence.",finished
cs 31,Smart Event,"A mobile/web platform using AI for event management, featuring facial recognition for attendance and emotion detection for organizer reports.",AI,"React,PHP,Laravel,Flutter,Embedded",Mona Samir,Ahmed Hany,2024/2025,"Emotion tracking over time, Enhanced anti-spoofing security, Scalability for large events.",finished
cs 30,Clarity RX (Charity RX),"Wearable smart glasses for the visually impaired, providing real-time obstacle detection and spatial awareness via ultrasonic sensors and audio feedback.",AI,"Embedded,Flutter",Mona Lakosha,Ahmed Hany,2024/2025,"Integrating GPS/voice navigation, Personal safety features, Cloud backup.",finished
cs 29,Women's Health Care,"An integrated AI system for women's healthcare, covering early cancer detection and emotional support via a generative AI chatbot.",AI,"Python,AI,Mobile",Mohammed Akderiatan,Abeer Mostafa,2024-2025,"Integrating pre-trained NLP, Sentiment analysis, Multilingual support, Links to certified professionals.",finished
cs 28,Smart Farm with IOT,A smart farming system using IoT sensor networks and AI to monitor environmental conditions in real-time for optimal lettuce cultivation.,AI,"IoT,Embedded,Mobile",Mohamed Abdelfatah,Ahmed Hany,2024/2025,"Supporting multiple crop types, Automated irrigation, Advanced AI capabilities (deep learning).",finished
cs 26,Deepfake Detection System,A mobile system that uses AI and image analysis techniques to easily and accurately identify fake videos/deepfakes.,AI,"Flutter,Java,Python,AI",Nora Niazi,Ahmed Hany,2025/2026,"Real-time detection optimization, Dataset diversity, Model optimization for mobile deployment.",finished
cs 13,NeuroVista,"A GAN-driven AI system for multi-modality MRI synthesis, brain tumor segmentation, and interactive 3D visualization.",AI,"React,FastAPI,AI",Mahmoud Gadallah,Nowraa Hamdy,2024-2025,"Integration with PACS, Support for more pathologies, Federated Learning, Explainable AI (XAI).",finished
cs 12,Yalla Bina,"An interactive educational mobile platform creating a competitive learning experience with real-time exams, rankings, and peer chat.",AI,"Flutter,NodeJS,MongoDB",Sherif Moharam,Mohammed Hassan,2024/2025,"In-App purchases/rewards, Advanced performance analytics, AI-Powered Study Assistant.",finished
cs 11,Dream Home,"A web and mobile platform connecting customers with verified technical workers for efficient hiring, booking, and real-time communication.",AI,"Angular,Flutter,NodeJS,Firebase,Docker",Abbass Rostom,Hadeel Aladdin,2024/2025,"AI-Based recommendations, Real-Time Chat, Payment Gateway, IoT Integration.",finished
cs 10,GestIA,An innovative Human-Computer Interaction system using AI and ultrasonic sensors for hands-free device control via intuitive hand gestures.,AI,"Python,Embedded,Flutter,React",Mona Lakousha,Ahmed Hany,2024/2025,"Enhanced AI Model Accuracy, Expansion of Gesture Library, Integration with smart home/public devices.",finished
cs 9,Layer 2 Attacks,"A project analyzing, implementing, and defending against Layer 2 network attacks in a simulated banking environment using specialized tools.",AI,"Network,Security",Sherif Moharam,Noha Ayman,2024-2025,"AI-Powered Threat Detection, Suricata Rule Integration, Full SOC Simulation.",finished
cs 8,Sugar Rush,"An intelligent, AI-driven system for the early diagnosis and management of diabetes, providing personalized lifestyle recommendations.",AI,"React,PHP,Laravel,Mobile",Lamiaa Hassaan,Nouran Hamdy,2024-2025,"Integration with Wearable Devices, Multilingual Support, Telemedicine Integration.",finished
cs 4,Nafsi AI,"An integrated AI-driven mental wellness platform combining an empathetic AI therapist with ""infinite memory,"" journaling, and progress tracking.",AI,"NextJS,Flutter,AI",Ahmed Ibrahim,Marian Emad,2024-2025,"Multimodal capabilities (voice, facial), Group support, Professional integration tools.",finished
cs 7,Soccer IQ,"An intelligent system using machine learning for football scouting and player evaluation, predicting advanced metrics like Expected Goals (xG) and Expected Assists (xA).",AI,"Angular,Flutter,AI",Mohamed Aksisilhah,Alaa Abouelela,2024/2025,"Real-time match data API integration, Expanding AI model (defensive metrics), Recommendation engine.",finished
 cs 90,My Cart,"A revolutionary smart shopping cart system that enhances the supermarket customer experience. Integrates barcode scanning, YOLO-based object recognition, weight sensors, and Bluetooth connectivity with a Flutter app. Customers scan QR code to connect, scan products to add to cart, weight sensor verifies addition, camera detects products for verification. Enables in-app payment, reducing checkout waiting times and minimizing errors.",IoT / AI / Mobile Development / Embedded Systems,"Visual Studio Code, Android Studio, Arduino IDE, PyCharm, Flutter (Dart), PHP, MySQL, XAMPP; Hardware: Arduino Uno, USB Host Shield, Barcode Scanner, ESP32 Camera Module, Weight Sensor (HX711), Bluetooth Module HC-05",Dr. Lamiaa Hassan,Eng. Alaa Abouelala,2023-2024,Transition from Bluetooth to Wi-Fi; upgrade barcode scanners for low-light performance; enhance weight sensor sensitivity; upgrade AI model to YOLOv10; add facial recognition for personalized offers; expand user features; comprehensive real-world testing,finished
 cs 4,Smart Cart,"A smart shopping cart system that automatically calculates item prices and provides a hassle-free checkout experience. Equipped with MG65 barcode scanner, ultrasonic sensor, weight sensor (HX711), and gesture recognition sensor (PAJ7620). Connected to a Flutter mobile app that displays item details, prices, and total cost. Each customer has an account with purchase history. Aims to reduce checkout waiting times and eliminate pricing errors.",IoT / Mobile Development / Embedded Systems,"Flutter (Dart), Firebase (Firestore, Realtime Database); Hardware: ESP32 MCU, MG65 Barcode Scanner, HC-SR04 Ultrasonic Sensor, HX711 Weight Sensor (20kg), PAJ7620 Gesture Recognition Sensor; Mobile: Android/iOS with API level 21+",Dr. Lamiaa Hassan,Eng. Ahmed Hany,2022-2023,"Enhanced item recognition for damaged/unreadable barcodes; incorporate machine learning for personalized recommendations and promotions; integrate with loyalty programs for rewards, points redemption, and personalized offers based on shopping behavior",finished
 cs 11,Smart Tour,"An AI-powered virtual tour guide mobile application for tourists in Egypt. Uses AI-driven image recognition to identify attractions from photos and provide detailed information (historical context, opening hours, fees, nearby amenities). Features sophisticated chatbot for inquiries about visas, customs, traditions, transportation. Offers customized travel plans based on selected city and duration. Includes grouping feature for socially inclined travelers, plus information on hotels and restaurants.",AI / Tourism Technology / Mobile Development,"Flutter (Dart), Android Studio, VS Code, MongoDB, Firebase/AWS DynamoDB, Node.js, TensorFlow, Keras, Google Maps API, external travel APIs; Languages: Python, Dart, JavaScript",Dr. Sherif Muharram,Eng. Nowraa Hamdy,2023-2024,Expand dataset for broader attraction coverage; improve AI models for wider range of queries; integrate real-time messaging platforms; incorporate more localized features; add multilingual support,finished
 cs 12,Financial Mobile App,"A comprehensive mobile application providing real-time updates on financial metrics including currency exchange rates, gold/silver prices, cryptocurrency values, and stock prices. Uses web scraping techniques (PHP Laravel with Goutte) to gather data from banks and financial websites. Hosted on Microsoft Windows Server 2016 with IIS, DHCP, DNS, Active Directory, and Group Policy. Features user authentication via Laravel Sanctum. Network design includes multiple VLANs with RSTP, PortFast, Port Security, and BPDU Guard.",Financial Technology / Web Scraping / Network Infrastructure,"PHP Laravel (Goutte package), Laravel Sanctum, Flutter (Dart), Microsoft Windows Server 2016, IIS, FastCGI, DHCP, DNS, Active Directory, Group Policy, Remote Desktop, Apache, MySQL, Cisco (RSTP, VLANs, PortFast, Port Security, BPDU Guard)",Dr. Abbass Rostomme,Eng. Nowraa Hamdy,2023-2024,Enhanced data analytics with predictive modeling; user customization with dashboards and alerts; expanded data sources; security improvements; cross-platform optimization,finished
 cs 13,ComfyView,"A wearable assistive arm/glove for visually impaired individuals to aid in navigating surroundings safely and independently. Equipped with ultrasonic sensors for obstacle detection, LM35 temperature sensor, buzzer for haptic feedback, and ESP32-CAM for image capture. Includes AI models for object detection and face recognition (OpenCV, Dlib). Connected to Flutter mobile app providing audio feedback and answering questions. Backend uses Firebase for real-time data management and storage.",Assistive Technology / IoT / AI / Embedded Systems,"Visual Studio Code, React, Node.js, Firebase (Firestore, Storage), Android Studio, Flutter (Dart), Arduino IDE, Anaconda, OpenCV, NumPy, Scikit-image, Matplotlib, Pillow, Dlib, CUDA Toolkit; Hardware: Arduino Uno, ESP32-CAM, Ultrasonic Sensor, LM35, Buzzer; Languages: Flutter, Dart, Python, C, React, NodeJS",Prof. Dr. Mahmoud GadAllah,Eng. Mennatullah Ramadan,2023-2024,Refine AI algorithms for better object detection/face recognition; explore additional sensors and feedback mechanisms; ongoing user feedback and iterative design; expand compatibility with other assistive devices; address ethical and privacy considerations,finished
 cs 14,Your Guide,"A comprehensive career guidance platform providing customizable templates for roadmaps and CVs. Roadmap templates help businesses and projects define objectives, initiatives, resource allocation, role assignments, timeline setting, and progress tracking. CV templates present personal information, skills, and professional experiences in a professional format. Includes career guidance tool to identify required skills/qualifications, CV evaluation with feedback, and simulation interview feature for practice.",Career Development / Web & Mobile Development / EdTech,"Visual Studio Code, Android Studio, Flutter (Dart), HTML, CSS, JavaScript, Bootstrap, PHP, MySQL, XML, XAMPP",Dr. Mona Lakousha,Eng. Nowraa Hamdy,2023-2024,Expand range of career options for comprehensive selection; refine CV evaluation with advanced algorithms and machine learning for precise evaluations and personalized recommendations; enhance simulation interview module with video interviews or interactive elements for immersive experience,finished
 cs 15,AI Medicare,"A health management application that utilizes advanced AI techniques to deliver personalized health insights and recommendations. Users can input symptoms to receive customized advice on disease prevention and management. Features include body fat, BMI, BMR calculators, and nearby hospital locator. Unique aspect: AI model for symptom analysis and illness prediction is accessible exclusively to doctors, ensuring professional oversight. Bridges gap between patients and healthcare providers.",AI / Health Informatics / Mobile & Web Development,"Android Studio, VS Code, Emulator, Browser, Anaconda; Languages: JavaScript, Node.js, Dart, Flutter, Python; Database: MongoDB; Frontend: HTML, CSS, Bootstrap",Dr. Mona Samir,Eng. Islam Kamal,2023-2024,Enhanced AI models for better accuracy; wearable device integration for continuous health monitoring; expanded database capabilities; user experience improvements; chat between doctor and patient; community and support features,finished
 cs 17,Planto Planto,"An AI-powered plant disease detection and treatment system specifically for wheat crops. Mobile application uses image recognition and YOLO algorithms to analyze plant photos and provide disease diagnosis, treatment, and infection stage. Includes a robot car with ESP32-CAM that drives through fields, providing livestream to mobile app for remote monitoring and control. Soil sensors (moisture, NPK, humidity/temperature, pH) measure soil conditions.",AI / Smart Agriculture / IoT / Embedded Systems,"Android Studio, Emulator, Firebase, Google Colab, Roboflow, PyCharm, Arduino IDE, Fritzing; Languages: Flutter, Dart, Python, Arduino; Hardware: ESP32, ESP32-CAM, Ultrasonic Sensor, DHT22, YL-69, NPK Sensor, pH Sensor, L298N, Servo Motor, DC Motors",Dr. Mahmoud Gad Allah,Eng. Aisa Aboueleia & Eng. Nowraa Hamdi,2023-2024,Create AI model to determine infection stage; enhance cost-effective drone integration for larger field coverage,finished
 cs 18,I'm Here,"A facial recognition-based student attendance tracking system for schools and colleges. Uses ESP32-CAM module with servo motor for camera movement to capture student faces, combined with computer vision and facial recognition algorithms. Mobile application (Flutter) connected to Firebase database records attendance, tracks monthly grades, and provides parent access.",AI / Computer Vision / Education Technology / Embedded Systems,"flutlab.io, Android Studio, Flutter (Dart), Firebase, Arduino IDE; Hardware: ESP32-CAM, FTDI Programmer, Servo Futaba S3003; Embedded: C/C++ (Arduino)",Dr. Mona Lakousha,Not specified,2023-2024,"Advanced analytics for predictive insights; extended integration with other school management systems; enhanced security (biometric authentication for parents); add assignments, quizzes/tests, and teacher material uploads",finished
 cs 19,Mesla7aty,"A comprehensive mobile application connecting customers with specialized craftsmen for home maintenance and renovation services (electrical, plumbing, carpentry, painting). Users browse certified craftsmen based on location and requirements, book appointments, and communicate directly with craftsmen. Service quality ensured through user ratings.",Service Marketplace / Mobile & Web Development / Gig Economy,"Visual Studio Code, HTML, CSS, JavaScript, jQuery, Bootstrap, PHP, Android Studio, Flutter (Dart), APIs, XAMPP, MySQL",Dr. Mona Samir,Eng. Nowraa Hamdy,2023-2024,Allow secure online payments between companies and workers; create direct interactions (community support/group chats); provide applicants with advice on application presentation; dynamic location selection on Google Maps,finished
 cs 20,ENGENZY,"A mobile application designed to streamline intercity travel through public transportation hubs in Egypt. Uses GPS technology to identify nearest stations, verify route availability, and provide real-time vehicle availability information throughout the day. Helps prevent overcrowding and exploitation by providing station capacity information and regulating fare prices. Compatible with Android (6.0+) and iOS (11.0+).",Transportation / Mobile Development / Cloud Computing,"Visual Studio, Flutter (Dart), APIs, GitHub, Microsoft Azure Cloud Platform (Virtual Machine, Load Balancer), Firebase (Firestore, Authentication)",Dr. Mona Samir,Eng. Nowraa Hamdy,2023-2024,"Allow secure online payment between driver and user; voice navigation support for hands-free usage; multiple language support for diverse users; customer service support (chat, email, phone); release iOS version",finished
